"data","rt"
2020-02-04,3.38649300524054
2020-02-05,2.77091363389665
2020-02-06,2.24921294431799
2020-02-07,1.88682317917658
2020-02-08,1.36522927702354
2020-02-09,1.10891360927496
2020-02-10,1.30897722698883
2020-02-11,1.22817286782112
2020-02-12,1.28932232008674
2020-02-13,1.35735296760331
2020-02-14,1.58351419231456
2020-02-15,2.20981793022488
2020-02-16,2.31653318156291
2020-02-17,2.34800424331558
2020-02-18,2.55283491215025
2020-02-19,2.43558855457604
2020-02-20,3.02634888805916
2020-02-21,3.0140210279019
2020-02-22,2.86807566949495
2020-02-23,2.93131084316324
2020-02-24,2.97787654954631
2020-02-25,3.02026779067847
2020-02-26,2.87859943091655
2020-02-27,2.60282208774438
2020-02-28,2.59660564358976
2020-02-29,2.43814110170442
2020-03-01,2.71179130457563
2020-03-02,2.61259989587668
2020-03-03,2.49494603951925
2020-03-04,2.31971977164623
2020-03-05,2.25996854725066
2020-03-06,2.17469872752032
2020-03-07,2.12684266796109
2020-03-08,1.9751793858637
2020-03-09,1.95740210389418
2020-03-10,2.0421325848654
2020-03-11,1.95682476270456
2020-03-12,1.86109005993517
2020-03-13,1.79015192926995
2020-03-14,1.68036901688579
2020-03-15,1.62234119270389
2020-03-16,1.52162778320547
2020-03-17,1.34408990224984
2020-03-18,1.28377169525814
2020-03-19,1.20259380262173
2020-03-20,1.1791332032788
2020-03-21,1.11207634467698
2020-03-22,1.01771848006506
2020-03-23,0.971799451561398
2020-03-24,0.932321535223473
2020-03-25,0.899760710741987
2020-03-26,0.872272036063819
2020-03-27,0.80100867981633
2020-03-28,0.794773199201464
2020-03-29,0.769538795334588
2020-03-30,0.764260215934495
2020-03-31,0.753927227987071
2020-04-01,0.785413666559344
2020-04-02,0.786512329146098
2020-04-03,0.779134271249092
2020-04-04,0.76956413712301
2020-04-05,0.778295202080292
2020-04-06,0.751661815112577
2020-04-07,0.762847570042645
2020-04-08,0.709660360879549
2020-04-09,0.709235287038598
2020-04-10,0.736388380961589
2020-04-11,0.732757477590827
2020-04-12,0.748128564507499
2020-04-13,0.737207721151095
2020-04-14,0.749204782669186
2020-04-15,0.774546769824475
2020-04-16,0.786575902420664
2020-04-17,0.750217928031893
2020-04-18,0.766825693980221
2020-04-19,0.750258668368101
2020-04-20,0.804694433163699
2020-04-21,0.787515956921317
2020-04-22,0.752238799845878
2020-04-23,0.739704293832937
2020-04-24,0.720991875290204
2020-04-25,0.710415051378594
2020-04-26,0.709292560499779
2020-04-27,0.662376114708489
2020-04-28,0.653727202987388
2020-04-29,0.637069674657771
2020-04-30,0.623535002242421
2020-05-01,0.621037171196366
2020-05-02,0.611823485372862
2020-05-03,0.610733149177434
2020-05-04,0.575466081360239
2020-05-05,0.579936801985973
2020-05-06,0.577714246278011
2020-05-07,0.578306711851599
2020-05-08,0.58818615589314
2020-05-09,0.586689247519055
2020-05-10,0.616750780485832
2020-05-11,0.62569319549241
2020-05-12,0.630573084170265
2020-05-13,0.638144617159949
2020-05-14,0.639866528056049
2020-05-15,0.633913604099295
2020-05-16,0.661055704964904
2020-05-17,0.652156924954059
2020-05-18,0.66635539291154
2020-05-19,0.652198511846788
2020-05-20,0.667656216481432
2020-05-21,0.670748117628635
2020-05-22,0.651662222599876
2020-05-23,0.652057752812424
2020-05-24,0.649559913992828
2020-05-25,0.635997913738137
2020-05-26,0.637906187063927
2020-05-27,0.628017766291789
2020-05-28,0.627567573615904
2020-05-29,0.634053121230132
2020-05-30,0.657898013847662
2020-05-31,0.679221863258662
2020-06-01,0.689135091005753
2020-06-02,0.641697613430357
2020-06-03,0.636888594917205
2020-06-04,0.647068371198511
2020-06-05,0.681368854954622
2020-06-06,0.687993717602517
2020-06-07,0.728985906454574
2020-06-08,0.731122283120532
2020-06-09,0.807461838488945
2020-06-10,0.816227384980185
2020-06-11,0.82610948259352
2020-06-12,0.832903058218911
2020-06-13,0.841737186955112
2020-06-14,0.871041583136575
2020-06-15,0.854173564493738
2020-06-16,0.849398912494811
2020-06-17,0.822533027812483
2020-06-18,0.83437213330884
2020-06-19,0.805809590828967
2020-06-20,0.81233692958532
2020-06-21,0.800591979726047
2020-06-22,0.788877566264928
2020-06-23,0.779088917285372
2020-06-24,0.815976667761215
2020-06-25,0.824315069891983
2020-06-26,0.845896061694349
2020-06-27,0.865542906471502
2020-06-28,0.857732529775597
2020-06-29,0.8801368831477
2020-06-30,0.878891273052834
2020-07-01,0.922520359525228
2020-07-02,0.948943819003968
2020-07-03,0.913739714516753
2020-07-04,0.908883124206246
2020-07-05,0.925934022755901
2020-07-06,0.927133376401061
2020-07-07,0.977440016468142
2020-07-08,0.942867371354958
2020-07-09,0.930278500312623
2020-07-10,0.991236326964325
2020-07-11,1.00150377785626
2020-07-12,1.00816134411468
2020-07-13,0.993844425438117
2020-07-14,0.997810931626716
2020-07-15,0.981733569655072
2020-07-16,0.959036764504757
2020-07-17,0.947330832441344
2020-07-18,0.953464431663756
2020-07-19,0.963484746632943
2020-07-20,0.996406533608145
2020-07-21,0.982634556125022
2020-07-22,0.984409752902578
2020-07-23,1.0143167886522
2020-07-24,1.01345347005814
2020-07-25,1.03715494658982
2020-07-26,0.999998586152912
2020-07-27,0.97568233691014
2020-07-28,0.969087369320397
2020-07-29,0.963975063852592
2020-07-30,0.945757825482076
2020-07-31,0.906278339968537
2020-08-01,0.914397297765471
2020-08-02,0.922445977181611
2020-08-03,0.922802620555079
2020-08-04,0.910404382909457
2020-08-05,0.929646967637252
2020-08-06,0.942498921803902
2020-08-07,0.952519980124686
