"data","rt"
2020-02-04,3.28370989513286
2020-02-05,2.65617733166228
2020-02-06,2.15229815813982
2020-02-07,1.80271165359898
2020-02-08,1.32571154069721
2020-02-09,1.06966061765553
2020-02-10,1.26962060116165
2020-02-11,1.20463445720612
2020-02-12,1.27591943337202
2020-02-13,1.34581173758283
2020-02-14,1.56443095779094
2020-02-15,2.19129927656346
2020-02-16,2.31617392764714
2020-02-17,2.35052146448015
2020-02-18,2.54981378592267
2020-02-19,2.42746276494146
2020-02-20,3.01429433744082
2020-02-21,3.00636852933208
2020-02-22,2.86025638233245
2020-02-23,2.91615397121579
2020-02-24,2.9645917588335
2020-02-25,3.0131908265364
2020-02-26,2.8768908352724
2020-02-27,2.60120885070552
2020-02-28,2.59305334221629
2020-02-29,2.43577406068928
2020-03-01,2.71086372509502
2020-03-02,2.61385075236585
2020-03-03,2.49445362616042
2020-03-04,2.31847131817888
2020-03-05,2.25825181470148
2020-03-06,2.17346892493521
2020-03-07,2.12645060931464
2020-03-08,1.97488329404217
2020-03-09,1.95750126085432
2020-03-10,2.0435666890967
2020-03-11,1.95897185305068
2020-03-12,1.86390397294017
2020-03-13,1.79306687682251
2020-03-14,1.68229557729824
2020-03-15,1.62385196740333
2020-03-16,1.5225797263656
2020-03-17,1.34469885929923
2020-03-18,1.2839669692264
2020-03-19,1.20277760748034
2020-03-20,1.17931865677886
2020-03-21,1.11299241608104
2020-03-22,1.01876875263337
2020-03-23,0.972682515447644
2020-03-24,0.933061660878309
2020-03-25,0.90041143380892
2020-03-26,0.872640314300119
2020-03-27,0.801128449839834
2020-03-28,0.794345355943303
2020-03-29,0.768947753056325
2020-03-30,0.763783548682236
2020-03-31,0.753567766466766
2020-04-01,0.785025214785928
2020-04-02,0.785937703036431
2020-04-03,0.778358647658398
2020-04-04,0.769092962947977
2020-04-05,0.778099755151078
2020-04-06,0.751640244358392
2020-04-07,0.763026659358645
2020-04-08,0.710192497873552
2020-04-09,0.710165154034222
2020-04-10,0.737942508412664
2020-04-11,0.734290198293343
2020-04-12,0.749585044753181
2020-04-13,0.738823837516992
2020-04-14,0.751340994366132
2020-04-15,0.776922700060295
2020-04-16,0.789312034270981
2020-04-17,0.752981507599985
2020-04-18,0.76905228483183
2020-04-19,0.752160293472962
2020-04-20,0.805524623372053
2020-04-21,0.78727214512992
2020-04-22,0.751001829739111
2020-04-23,0.7382752988516
2020-04-24,0.719072510604797
2020-04-25,0.70856082343152
2020-04-26,0.70766443100895
2020-04-27,0.661963356813054
2020-04-28,0.65392719321873
2020-04-29,0.6379238340547
2020-04-30,0.623584708018859
2020-05-01,0.622173905821867
2020-05-02,0.613724596713516
2020-05-03,0.612900008793247
2020-05-04,0.577630325800306
2020-05-05,0.58107306906426
2020-05-06,0.577769941761336
2020-05-07,0.577776507326734
2020-05-08,0.587616568058978
2020-05-09,0.584572823328983
2020-05-10,0.614431096256347
2020-05-11,0.622317098762457
2020-05-12,0.627227426877112
2020-05-13,0.63663999944418
2020-05-14,0.640056795607933
2020-05-15,0.633515775737209
2020-05-16,0.661899879840851
2020-05-17,0.654503589497264
2020-05-18,0.669687373926749
2020-05-19,0.656668539413675
2020-05-20,0.673072937092068
2020-05-21,0.676225220851937
2020-05-22,0.656825318864436
2020-05-23,0.657783050923621
2020-05-24,0.654245642778262
2020-05-25,0.642076222992477
2020-05-26,0.6415993114089
2020-05-27,0.629984785659742
2020-05-28,0.629740565666836
2020-05-29,0.633479142999641
2020-05-30,0.654191099613249
2020-05-31,0.674809071620457
2020-06-01,0.680788323351102
2020-06-02,0.6355135659655
2020-06-03,0.630511031444964
2020-06-04,0.640281863918863
2020-06-05,0.679302865385875
2020-06-06,0.690050827300912
2020-06-07,0.730132775503856
2020-06-08,0.733917889575805
2020-06-09,0.811219720630379
2020-06-10,0.820019077817752
2020-06-11,0.832544877427806
2020-06-12,0.837653934018806
2020-06-13,0.846128966616571
2020-06-14,0.874837647855839
2020-06-15,0.860871339049499
2020-06-16,0.857279284114543
2020-06-17,0.834885102288717
2020-06-18,0.839559084609444
2020-06-19,0.80929516818843
2020-06-20,0.813805783703649
2020-06-21,0.80052803148522
2020-06-22,0.787454099643784
2020-06-23,0.778151640804783
2020-06-24,0.807726921170574
2020-06-25,0.825771023028245
2020-06-26,0.845727669449938
2020-06-27,0.86364209572465
2020-06-28,0.865980685527987
2020-06-29,0.886064237320283
2020-06-30,0.882625823003917
2020-07-01,0.923347148546123
2020-07-02,0.941324338262554
2020-07-03,0.905219294234355
2020-07-04,0.903302297165574
2020-07-05,0.913041627180323
2020-07-06,0.917613906500994
2020-07-07,0.966783401525297
2020-07-08,0.938056070616053
2020-07-09,0.928655091930476
2020-07-10,0.991831844106389
2020-07-11,1.00251521435676
2020-07-12,1.01516845878443
2020-07-13,1.00250139752703
2020-07-14,1.00573097185815
2020-07-15,0.987120645262539
2020-07-16,0.965714715978897
2020-07-17,0.953403636712667
2020-07-18,0.956994781640303
2020-07-19,0.964624921510651
2020-07-20,0.995203487147065
2020-07-21,0.978195533779405
2020-07-22,0.981927444948705
2020-07-23,1.01351609434776
2020-07-24,1.01442951682365
2020-07-25,1.03945541790438
2020-07-26,0.997917181405382
2020-07-27,0.972475520960631
2020-07-28,0.974732845201833
2020-07-29,0.970658623072167
2020-07-30,0.943775824826905
2020-07-31,0.899239910513525
2020-08-01,0.905251305485723
2020-08-02,0.915623100574397
2020-08-03,0.913305743710046
2020-08-04,0.901145303913961
2020-08-05,0.921885102804153
2020-08-06,0.937384908513471
2020-08-07,0.958728431119972
