"data","rt"
2020-02-04,3.07776819658115
2020-02-05,2.49348847784541
2020-02-06,2.01903643033216
2020-02-07,1.64509597945005
2020-02-08,1.23115215208516
2020-02-09,1.00061177941314
2020-02-10,1.19166716160262
2020-02-11,1.14262365628767
2020-02-12,1.22799127703867
2020-02-13,1.29842047292524
2020-02-14,1.51993305843397
2020-02-15,2.14241185515327
2020-02-16,2.26758718532552
2020-02-17,2.31986560253696
2020-02-18,2.51979458987069
2020-02-19,2.40485581600147
2020-02-20,2.99365674248647
2020-02-21,2.99529095525027
2020-02-22,2.85185841591874
2020-02-23,2.91807091579432
2020-02-24,2.96994087540797
2020-02-25,3.01793523762226
2020-02-26,2.88037195555884
2020-02-27,2.60658778205732
2020-02-28,2.59752257087972
2020-02-29,2.43863654046497
2020-03-01,2.71057440374999
2020-03-02,2.61141977461665
2020-03-03,2.49211591296833
2020-03-04,2.3163927227986
2020-03-05,2.25646637464852
2020-03-06,2.17260243396976
2020-03-07,2.12644806539729
2020-03-08,1.97535294795222
2020-03-09,1.95867126159246
2020-03-10,2.04546684896303
2020-03-11,1.96026981792858
2020-03-12,1.86553320014582
2020-03-13,1.79433137871752
2020-03-14,1.68346775060467
2020-03-15,1.62519270370716
2020-03-16,1.52377133533994
2020-03-17,1.34575440272332
2020-03-18,1.28513565067207
2020-03-19,1.20358481531393
2020-03-20,1.18008149956021
2020-03-21,1.11362593602728
2020-03-22,1.01928840495903
2020-03-23,0.973028718982979
2020-03-24,0.93329684068746
2020-03-25,0.900556652659326
2020-03-26,0.87285212953932
2020-03-27,0.801229367710538
2020-03-28,0.794533385325462
2020-03-29,0.76907655357128
2020-03-30,0.763933468863345
2020-03-31,0.753702088235909
2020-04-01,0.785104445924969
2020-04-02,0.785791647723967
2020-04-03,0.778429335886113
2020-04-04,0.768979697255817
2020-04-05,0.778034467672505
2020-04-06,0.751677278650694
2020-04-07,0.763116762464312
2020-04-08,0.710440762041425
2020-04-09,0.710463557179301
2020-04-10,0.738056985598637
2020-04-11,0.734512166642461
2020-04-12,0.749669588717626
2020-04-13,0.738835129131049
2020-04-14,0.7510067072403
2020-04-15,0.776518733977424
2020-04-16,0.788852797053039
2020-04-17,0.752554601174421
2020-04-18,0.768578445273342
2020-04-19,0.751802404759703
2020-04-20,0.80546088530426
2020-04-21,0.787406941689116
2020-04-22,0.751502737270693
2020-04-23,0.738953165709828
2020-04-24,0.719917559101331
2020-04-25,0.709469509979311
2020-04-26,0.708527118373596
2020-04-27,0.662788202830858
2020-04-28,0.6549486992513
2020-04-29,0.638674986285014
2020-04-30,0.624055997093805
2020-05-01,0.622350757486618
2020-05-02,0.61346149253277
2020-05-03,0.61279347409228
2020-05-04,0.577084390179177
2020-05-05,0.580543943646823
2020-05-06,0.577843364584904
2020-05-07,0.578510499553326
2020-05-08,0.58818790545607
2020-05-09,0.585879791161662
2020-05-10,0.615507877141556
2020-05-11,0.624728519368764
2020-05-12,0.629384740510956
2020-05-13,0.637574583879235
2020-05-14,0.639995655854529
2020-05-15,0.635493813326777
2020-05-16,0.663862740311421
2020-05-17,0.656127340342066
2020-05-18,0.66966143507147
2020-05-19,0.656692473966191
2020-05-20,0.674001559107419
2020-05-21,0.678655606291701
2020-05-22,0.657402372276863
2020-05-23,0.65681591483566
2020-05-24,0.653919690966156
2020-05-25,0.640747903305319
2020-05-26,0.640407597712453
2020-05-27,0.630317638610741
2020-05-28,0.628873348603775
2020-05-29,0.631276413716582
2020-05-30,0.653631552990861
2020-05-31,0.673565667190797
2020-06-01,0.682316577242325
2020-06-02,0.638265419128485
2020-06-03,0.630506926679242
2020-06-04,0.641313595727272
2020-06-05,0.682443318478098
2020-06-06,0.693223928350548
2020-06-07,0.733147669060744
2020-06-08,0.735620124581754
2020-06-09,0.812495861024187
2020-06-10,0.822528656615638
2020-06-11,0.836275549936301
2020-06-12,0.839784399726021
2020-06-13,0.846616087207671
2020-06-14,0.876537832279449
2020-06-15,0.862586930687477
2020-06-16,0.858941170761833
2020-06-17,0.830504499401432
2020-06-18,0.83381428073312
2020-06-19,0.805794701560377
2020-06-20,0.810760874832534
2020-06-21,0.796368504347541
2020-06-22,0.785533197245087
2020-06-23,0.774956848642551
2020-06-24,0.813692590412853
2020-06-25,0.829921784248464
2020-06-26,0.849649854438643
2020-06-27,0.869110090409139
2020-06-28,0.871039521162665
2020-06-29,0.890551880176787
2020-06-30,0.890541544550802
2020-07-01,0.928340752774752
2020-07-02,0.943553427479994
2020-07-03,0.909254920234613
2020-07-04,0.907043150414184
2020-07-05,0.916470824569178
2020-07-06,0.918863775945667
2020-07-07,0.961533376161761
2020-07-08,0.931462751084998
2020-07-09,0.924760066601415
2020-07-10,0.984188699530827
2020-07-11,0.995607237890889
2020-07-12,1.00710196611222
2020-07-13,0.997301081267797
2020-07-14,1.00320600405165
2020-07-15,0.987074713139413
2020-07-16,0.971343271693789
2020-07-17,0.958743076349972
2020-07-18,0.9600717634673
2020-07-19,0.968909376684126
2020-07-20,0.995448848422773
2020-07-21,0.978261150865447
2020-07-22,0.981842518494777
2020-07-23,1.00530097924002
2020-07-24,1.00993430327759
2020-07-25,1.03839970543338
2020-07-26,0.995718945277319
2020-07-27,0.977742789813689
2020-07-28,0.979471086653026
2020-07-29,0.973335722102329
2020-07-30,0.948661693477699
2020-07-31,0.900964631843006
2020-08-01,0.902453763810203
2020-08-02,0.915052126343084
2020-08-03,0.910981601275311
2020-08-04,0.899717008041988
2020-08-05,0.922166771417898
2020-08-06,0.937717997508609
2020-08-07,0.95319322423901
